,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,horsepower,citympg,highwaympg,price,car_brand
0,gas,std,two,convertible,rwd,front,88.6,168.8,64.1,2548,dohc,four,130,mpfi,111,21,27,13495.0,alfa-romero
1,gas,std,two,convertible,rwd,front,88.6,168.8,64.1,2548,dohc,four,130,mpfi,111,21,27,16500.0,alfa-romero
2,gas,std,two,hatchback,rwd,front,94.5,171.2,65.5,2823,ohcv,six,152,mpfi,154,19,26,16500.0,alfa-romero
3,gas,std,four,sedan,fwd,front,99.8,176.6,66.2,2337,ohc,four,109,mpfi,102,24,30,13950.0,audi
4,gas,std,four,sedan,4wd,front,99.4,176.6,66.4,2824,ohc,five,136,mpfi,115,18,22,17450.0,audi
5,gas,std,two,sedan,fwd,front,99.8,177.3,66.3,2507,ohc,five,136,mpfi,110,19,25,15250.0,audi
6,gas,std,four,sedan,fwd,front,105.8,192.7,71.4,2844,ohc,five,136,mpfi,110,19,25,17710.0,audi
7,gas,std,four,wagon,fwd,front,105.8,192.7,71.4,2954,ohc,five,136,mpfi,110,19,25,18920.0,audi
8,gas,turbo,four,sedan,fwd,front,105.8,192.7,71.4,3086,ohc,five,131,mpfi,140,17,20,23875.0,audi
9,gas,turbo,two,hatchback,4wd,front,99.5,178.2,67.9,3053,ohc,five,131,mpfi,160,16,22,17859.167,audi
10,gas,std,two,sedan,rwd,front,101.2,176.8,64.8,2395,ohc,four,108,mpfi,101,23,29,16430.0,bmw
11,gas,std,four,sedan,rwd,front,101.2,176.8,64.8,2395,ohc,four,108,mpfi,101,23,29,16925.0,bmw
12,gas,std,two,sedan,rwd,front,101.2,176.8,64.8,2710,ohc,six,164,mpfi,121,21,28,20970.0,bmw
13,gas,std,four,sedan,rwd,front,101.2,176.8,64.8,2765,ohc,six,164,mpfi,121,21,28,21105.0,bmw
14,gas,std,four,sedan,rwd,front,103.5,189.0,66.9,3055,ohc,six,164,mpfi,121,20,25,24565.0,bmw
18,gas,std,two,hatchback,fwd,front,88.4,141.1,60.3,1488,l,three,61,2bbl,48,47,53,5151.0,chevrolet
19,gas,std,two,hatchback,fwd,front,94.5,155.9,63.6,1874,ohc,four,90,2bbl,70,38,43,6295.0,chevrolet
20,gas,std,four,sedan,fwd,front,94.5,158.8,63.6,1909,ohc,four,90,2bbl,70,38,43,6575.0,chevrolet
21,gas,std,two,hatchback,fwd,front,93.7,157.3,63.8,1876,ohc,four,90,2bbl,68,37,41,5572.0,dodge
22,gas,std,two,hatchback,fwd,front,93.7,157.3,63.8,1876,ohc,four,90,2bbl,68,31,38,6377.0,dodge
23,gas,turbo,two,hatchback,fwd,front,93.7,157.3,63.8,2128,ohc,four,98,mpfi,102,24,30,7957.0,dodge
24,gas,std,four,hatchback,fwd,front,93.7,157.3,63.8,1967,ohc,four,90,2bbl,68,31,38,6229.0,dodge
25,gas,std,four,sedan,fwd,front,93.7,157.3,63.8,1989,ohc,four,90,2bbl,68,31,38,6692.0,dodge
26,gas,std,four,sedan,fwd,front,93.7,157.3,63.8,1989,ohc,four,90,2bbl,68,31,38,7609.0,dodge
27,gas,turbo,two,sedan,fwd,front,93.7,157.3,63.8,2191,ohc,four,98,mpfi,102,24,30,8558.0,dodge
28,gas,std,four,wagon,fwd,front,103.3,174.6,64.6,2535,ohc,four,122,2bbl,88,24,30,8921.0,dodge
29,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,2811,ohc,four,156,mfi,145,19,24,12964.0,dodge
30,gas,std,two,hatchback,fwd,front,86.6,144.6,63.9,1713,ohc,four,92,1bbl,58,49,54,6479.0,honda
31,gas,std,two,hatchback,fwd,front,86.6,144.6,63.9,1819,ohc,four,92,1bbl,76,31,38,6855.0,honda
32,gas,std,two,hatchback,fwd,front,93.7,150.0,64.0,1837,ohc,four,79,1bbl,60,38,42,5399.0,honda
33,gas,std,two,hatchback,fwd,front,93.7,150.0,64.0,1940,ohc,four,92,1bbl,76,30,34,6529.0,honda
34,gas,std,two,hatchback,fwd,front,93.7,150.0,64.0,1956,ohc,four,92,1bbl,76,30,34,7129.0,honda
35,gas,std,four,sedan,fwd,front,96.5,163.4,64.0,2010,ohc,four,92,1bbl,76,30,34,7295.0,honda
36,gas,std,four,wagon,fwd,front,96.5,157.1,63.9,2024,ohc,four,92,1bbl,76,30,34,7295.0,honda
37,gas,std,two,hatchback,fwd,front,96.5,167.5,65.2,2236,ohc,four,110,1bbl,86,27,33,7895.0,honda
38,gas,std,two,hatchback,fwd,front,96.5,167.5,65.2,2289,ohc,four,110,1bbl,86,27,33,9095.0,honda
39,gas,std,four,sedan,fwd,front,96.5,175.4,65.2,2304,ohc,four,110,1bbl,86,27,33,8845.0,honda
40,gas,std,four,sedan,fwd,front,96.5,175.4,62.5,2372,ohc,four,110,1bbl,86,27,33,10295.0,honda
41,gas,std,four,sedan,fwd,front,96.5,175.4,65.2,2465,ohc,four,110,mpfi,101,24,28,12945.0,honda
42,gas,std,two,sedan,fwd,front,96.5,169.1,66.0,2293,ohc,four,110,2bbl,100,25,31,10345.0,honda
43,gas,std,four,sedan,rwd,front,94.3,170.7,61.8,2337,ohc,four,111,2bbl,78,24,29,6785.0,isuzu
44,gas,std,two,sedan,fwd,front,94.5,155.9,63.6,1874,ohc,four,90,2bbl,70,38,43,8916.5,isuzu
45,gas,std,four,sedan,fwd,front,94.5,155.9,63.6,1909,ohc,four,90,2bbl,70,38,43,8916.5,isuzu
46,gas,std,two,hatchback,rwd,front,96.0,172.6,65.2,2734,ohc,four,119,spfi,90,24,29,11048.0,isuzu
50,gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,1890,ohc,four,91,2bbl,68,30,31,5195.0,mazda
51,gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,1900,ohc,four,91,2bbl,68,31,38,6095.0,mazda
52,gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,1905,ohc,four,91,2bbl,68,31,38,6795.0,mazda
53,gas,std,four,sedan,fwd,front,93.1,166.8,64.2,1945,ohc,four,91,2bbl,68,31,38,6695.0,mazda
54,gas,std,four,sedan,fwd,front,93.1,166.8,64.2,1950,ohc,four,91,2bbl,68,31,38,7395.0,mazda
55,gas,std,two,hatchback,rwd,front,95.3,169.0,65.7,2380,rotor,two,70,4bbl,101,17,23,10945.0,mazda
56,gas,std,two,hatchback,rwd,front,95.3,169.0,65.7,2380,rotor,two,70,4bbl,101,17,23,11845.0,mazda
57,gas,std,two,hatchback,rwd,front,95.3,169.0,65.7,2385,rotor,two,70,4bbl,101,17,23,13645.0,mazda
58,gas,std,two,hatchback,rwd,front,95.3,169.0,65.7,2500,rotor,two,80,mpfi,135,16,23,15645.0,mazda
59,gas,std,two,hatchback,fwd,front,98.8,177.8,66.5,2385,ohc,four,122,2bbl,84,26,32,8845.0,mazda
60,gas,std,four,sedan,fwd,front,98.8,177.8,66.5,2410,ohc,four,122,2bbl,84,26,32,8495.0,mazda
61,gas,std,two,hatchback,fwd,front,98.8,177.8,66.5,2385,ohc,four,122,2bbl,84,26,32,10595.0,mazda
62,gas,std,four,sedan,fwd,front,98.8,177.8,66.5,2410,ohc,four,122,2bbl,84,26,32,10245.0,mazda
63,diesel,std,four,sedan,fwd,front,98.8,177.8,66.5,2443,ohc,four,122,idi,64,36,42,10795.0,mazda
64,gas,std,four,hatchback,fwd,front,98.8,177.8,66.5,2425,ohc,four,122,2bbl,84,26,32,11245.0,mazda
65,gas,std,four,sedan,rwd,front,104.9,175.0,66.1,2670,ohc,four,140,mpfi,120,19,27,18280.0,mazda
66,diesel,std,four,sedan,rwd,front,104.9,175.0,66.1,2700,ohc,four,134,idi,72,31,39,18344.0,mazda
67,diesel,turbo,four,sedan,rwd,front,110.0,190.9,70.3,3515,ohc,five,183,idi,123,22,25,25552.0,buick
68,diesel,turbo,four,wagon,rwd,front,110.0,190.9,70.3,3750,ohc,five,183,idi,123,22,25,28248.0,buick
69,diesel,turbo,two,hardtop,rwd,front,106.7,187.5,70.3,3495,ohc,five,183,idi,123,22,25,28176.0,buick
75,gas,turbo,two,hatchback,rwd,front,102.7,178.4,68.0,2910,ohc,four,140,mpfi,175,19,24,16503.0,mercury
76,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,1918,ohc,four,92,2bbl,68,37,41,5389.0,mitsubishi
77,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,1944,ohc,four,92,2bbl,68,31,38,6189.0,mitsubishi
78,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,2004,ohc,four,92,2bbl,68,31,38,6669.0,mitsubishi
79,gas,turbo,two,hatchback,fwd,front,93.0,157.3,63.8,2145,ohc,four,98,spdi,102,24,30,7689.0,mitsubishi
80,gas,turbo,two,hatchback,fwd,front,96.3,173.0,65.4,2370,ohc,four,110,spdi,116,23,30,9959.0,mitsubishi
81,gas,std,two,hatchback,fwd,front,96.3,173.0,65.4,2328,ohc,four,122,2bbl,88,25,32,8499.0,mitsubishi
82,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,2833,ohc,four,156,spdi,145,19,24,12629.0,mitsubishi
83,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,2921,ohc,four,156,spdi,145,19,24,14869.0,mitsubishi
84,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,2926,ohc,four,156,spdi,145,19,24,14489.0,mitsubishi
85,gas,std,four,sedan,fwd,front,96.3,172.4,65.4,2365,ohc,four,122,2bbl,88,25,32,6989.0,mitsubishi
86,gas,std,four,sedan,fwd,front,96.3,172.4,65.4,2405,ohc,four,122,2bbl,88,25,32,8189.0,mitsubishi
87,gas,turbo,four,sedan,fwd,front,96.3,172.4,65.4,2403,ohc,four,110,spdi,116,23,30,9279.0,mitsubishi
88,gas,std,four,sedan,fwd,front,96.3,172.4,65.4,2403,ohc,four,110,spdi,116,23,30,9279.0,mitsubishi
89,gas,std,two,sedan,fwd,front,94.5,165.3,63.8,1889,ohc,four,97,2bbl,69,31,37,5499.0,nissan
90,diesel,std,two,sedan,fwd,front,94.5,165.3,63.8,2017,ohc,four,103,idi,55,45,50,7099.0,nissan
91,gas,std,two,sedan,fwd,front,94.5,165.3,63.8,1918,ohc,four,97,2bbl,69,31,37,6649.0,nissan
92,gas,std,four,sedan,fwd,front,94.5,165.3,63.8,1938,ohc,four,97,2bbl,69,31,37,6849.0,nissan
93,gas,std,four,wagon,fwd,front,94.5,170.2,63.8,2024,ohc,four,97,2bbl,69,31,37,7349.0,nissan
94,gas,std,two,sedan,fwd,front,94.5,165.3,63.8,1951,ohc,four,97,2bbl,69,31,37,7299.0,nissan
95,gas,std,two,hatchback,fwd,front,94.5,165.6,63.8,2028,ohc,four,97,2bbl,69,31,37,7799.0,nissan
96,gas,std,four,sedan,fwd,front,94.5,165.3,63.8,1971,ohc,four,97,2bbl,69,31,37,7499.0,nissan
97,gas,std,four,wagon,fwd,front,94.5,170.2,63.8,2037,ohc,four,97,2bbl,69,31,37,7999.0,nissan
98,gas,std,two,hardtop,fwd,front,95.1,162.4,63.8,2008,ohc,four,97,2bbl,69,31,37,8249.0,nissan
99,gas,std,four,hatchback,fwd,front,97.2,173.4,65.2,2324,ohc,four,120,2bbl,97,27,34,8949.0,nissan
100,gas,std,four,sedan,fwd,front,97.2,173.4,65.2,2302,ohc,four,120,2bbl,97,27,34,9549.0,nissan
101,gas,std,four,sedan,fwd,front,100.4,181.7,66.5,3095,ohcv,six,181,mpfi,152,17,22,13499.0,nissan
102,gas,std,four,wagon,fwd,front,100.4,184.6,66.5,3296,ohcv,six,181,mpfi,152,17,22,14399.0,nissan
103,gas,std,four,sedan,fwd,front,100.4,184.6,66.5,3060,ohcv,six,181,mpfi,152,19,25,13499.0,nissan
104,gas,std,two,hatchback,rwd,front,91.3,170.7,67.9,3071,ohcv,six,181,mpfi,160,19,25,17199.0,nissan
105,gas,turbo,two,hatchback,rwd,front,91.3,170.7,67.9,3139,ohcv,six,181,mpfi,200,17,23,19699.0,nissan
106,gas,std,two,hatchback,rwd,front,99.2,178.5,67.9,3139,ohcv,six,181,mpfi,160,19,25,18399.0,nissan
107,gas,std,four,sedan,rwd,front,107.9,186.7,68.4,3020,l,four,120,mpfi,97,19,24,11900.0,peugeot
108,diesel,turbo,four,sedan,rwd,front,107.9,186.7,68.4,3197,l,four,152,idi,95,28,33,13200.0,peugeot
109,gas,std,four,wagon,rwd,front,114.2,198.9,68.4,3230,l,four,120,mpfi,97,19,24,12440.0,peugeot
110,diesel,turbo,four,wagon,rwd,front,114.2,198.9,68.4,3430,l,four,152,idi,95,25,25,13860.0,peugeot
111,gas,std,four,sedan,rwd,front,107.9,186.7,68.4,3075,l,four,120,mpfi,95,19,24,15580.0,peugeot
112,diesel,turbo,four,sedan,rwd,front,107.9,186.7,68.4,3252,l,four,152,idi,95,28,33,16900.0,peugeot
113,gas,std,four,wagon,rwd,front,114.2,198.9,68.4,3285,l,four,120,mpfi,95,19,24,16695.0,peugeot
114,diesel,turbo,four,wagon,rwd,front,114.2,198.9,68.4,3485,l,four,152,idi,95,25,25,17075.0,peugeot
115,gas,std,four,sedan,rwd,front,107.9,186.7,68.4,3075,l,four,120,mpfi,97,19,24,16630.0,peugeot
116,diesel,turbo,four,sedan,rwd,front,107.9,186.7,68.4,3252,l,four,152,idi,95,28,33,17950.0,peugeot
117,gas,turbo,four,sedan,rwd,front,108.0,186.7,68.3,3130,l,four,134,mpfi,142,18,24,18150.0,peugeot
118,gas,std,two,hatchback,fwd,front,93.7,157.3,63.8,1918,ohc,four,90,2bbl,68,37,41,5572.0,plymouth
119,gas,turbo,two,hatchback,fwd,front,93.7,157.3,63.8,2128,ohc,four,98,spdi,102,24,30,7957.0,plymouth
120,gas,std,four,hatchback,fwd,front,93.7,157.3,63.8,1967,ohc,four,90,2bbl,68,31,38,6229.0,plymouth
121,gas,std,four,sedan,fwd,front,93.7,167.3,63.8,1989,ohc,four,90,2bbl,68,31,38,6692.0,plymouth
122,gas,std,four,sedan,fwd,front,93.7,167.3,63.8,2191,ohc,four,98,2bbl,68,31,38,7609.0,plymouth
123,gas,std,four,wagon,fwd,front,103.3,174.6,64.6,2535,ohc,four,122,2bbl,88,24,30,8921.0,plymouth
124,gas,turbo,two,hatchback,rwd,front,95.9,173.2,66.3,2818,ohc,four,156,spdi,145,19,24,12764.0,plymouth
125,gas,std,two,hatchback,rwd,front,94.5,168.9,68.3,2778,ohc,four,151,mpfi,143,19,27,22018.0,porsche
130,gas,std,four,wagon,fwd,front,96.1,181.5,66.5,2579,ohc,four,132,mpfi,90,23,31,9295.0,renault
131,gas,std,two,hatchback,fwd,front,96.1,176.8,66.6,2460,ohc,four,132,mpfi,90,23,31,9895.0,renault
132,gas,std,two,hatchback,fwd,front,99.1,186.6,66.5,2658,ohc,four,121,mpfi,110,21,28,11850.0,saab
133,gas,std,four,sedan,fwd,front,99.1,186.6,66.5,2695,ohc,four,121,mpfi,110,21,28,12170.0,saab
134,gas,std,two,hatchback,fwd,front,99.1,186.6,66.5,2707,ohc,four,121,mpfi,110,21,28,15040.0,saab
135,gas,std,four,sedan,fwd,front,99.1,186.6,66.5,2758,ohc,four,121,mpfi,110,21,28,15510.0,saab
136,gas,turbo,two,hatchback,fwd,front,99.1,186.6,66.5,2808,dohc,four,121,mpfi,160,19,26,18150.0,saab
137,gas,turbo,four,sedan,fwd,front,99.1,186.6,66.5,2847,dohc,four,121,mpfi,160,19,26,18620.0,saab
138,gas,std,two,hatchback,fwd,front,93.7,156.9,63.4,2050,ohcf,four,97,2bbl,69,31,36,5118.0,subaru
139,gas,std,two,hatchback,fwd,front,93.7,157.9,63.6,2120,ohcf,four,108,2bbl,73,26,31,7053.0,subaru
140,gas,std,two,hatchback,4wd,front,93.3,157.3,63.8,2240,ohcf,four,108,2bbl,73,26,31,7603.0,subaru
141,gas,std,four,sedan,fwd,front,97.2,172.0,65.4,2145,ohcf,four,108,2bbl,82,32,37,7126.0,subaru
142,gas,std,four,sedan,fwd,front,97.2,172.0,65.4,2190,ohcf,four,108,2bbl,82,28,33,7775.0,subaru
143,gas,std,four,sedan,fwd,front,97.2,172.0,65.4,2340,ohcf,four,108,mpfi,94,26,32,9960.0,subaru
144,gas,std,four,sedan,4wd,front,97.0,172.0,65.4,2385,ohcf,four,108,2bbl,82,24,25,9233.0,subaru
145,gas,turbo,four,sedan,4wd,front,97.0,172.0,65.4,2510,ohcf,four,108,mpfi,111,24,29,11259.0,subaru
146,gas,std,four,wagon,fwd,front,97.0,173.5,65.4,2290,ohcf,four,108,2bbl,82,28,32,7463.0,subaru
147,gas,std,four,wagon,fwd,front,97.0,173.5,65.4,2455,ohcf,four,108,mpfi,94,25,31,10198.0,subaru
148,gas,std,four,wagon,4wd,front,96.9,173.6,65.4,2420,ohcf,four,108,2bbl,82,23,29,8013.0,subaru
149,gas,turbo,four,wagon,4wd,front,96.9,173.6,65.4,2650,ohcf,four,108,mpfi,111,23,23,11694.0,subaru
150,gas,std,two,hatchback,fwd,front,95.7,158.7,63.6,1985,ohc,four,92,2bbl,62,35,39,5348.0,toyota
151,gas,std,two,hatchback,fwd,front,95.7,158.7,63.6,2040,ohc,four,92,2bbl,62,31,38,6338.0,toyota
152,gas,std,four,hatchback,fwd,front,95.7,158.7,63.6,2015,ohc,four,92,2bbl,62,31,38,6488.0,toyota
153,gas,std,four,wagon,fwd,front,95.7,169.7,63.6,2280,ohc,four,92,2bbl,62,31,37,6918.0,toyota
154,gas,std,four,wagon,4wd,front,95.7,169.7,63.6,2290,ohc,four,92,2bbl,62,27,32,7898.0,toyota
155,gas,std,four,wagon,4wd,front,95.7,169.7,63.6,3110,ohc,four,92,2bbl,62,27,32,8778.0,toyota
156,gas,std,four,sedan,fwd,front,95.7,166.3,64.4,2081,ohc,four,98,2bbl,70,30,37,6938.0,toyota
157,gas,std,four,hatchback,fwd,front,95.7,166.3,64.4,2109,ohc,four,98,2bbl,70,30,37,7198.0,toyota
158,diesel,std,four,sedan,fwd,front,95.7,166.3,64.4,2275,ohc,four,110,idi,56,34,36,7898.0,toyota
159,diesel,std,four,hatchback,fwd,front,95.7,166.3,64.4,2275,ohc,four,110,idi,56,38,47,7788.0,toyota
160,gas,std,four,sedan,fwd,front,95.7,166.3,64.4,2094,ohc,four,98,2bbl,70,38,47,7738.0,toyota
161,gas,std,four,hatchback,fwd,front,95.7,166.3,64.4,2122,ohc,four,98,2bbl,70,28,34,8358.0,toyota
162,gas,std,four,sedan,fwd,front,95.7,166.3,64.4,2140,ohc,four,98,2bbl,70,28,34,9258.0,toyota
163,gas,std,two,sedan,rwd,front,94.5,168.7,64.0,2169,ohc,four,98,2bbl,70,29,34,8058.0,toyota
164,gas,std,two,hatchback,rwd,front,94.5,168.7,64.0,2204,ohc,four,98,2bbl,70,29,34,8238.0,toyota
165,gas,std,two,sedan,rwd,front,94.5,168.7,64.0,2265,dohc,four,98,mpfi,112,26,29,9298.0,toyota
166,gas,std,two,hatchback,rwd,front,94.5,168.7,64.0,2300,dohc,four,98,mpfi,112,26,29,9538.0,toyota
167,gas,std,two,hardtop,rwd,front,98.4,176.2,65.6,2540,ohc,four,146,mpfi,116,24,30,8449.0,toyota
168,gas,std,two,hardtop,rwd,front,98.4,176.2,65.6,2536,ohc,four,146,mpfi,116,24,30,9639.0,toyota
169,gas,std,two,hatchback,rwd,front,98.4,176.2,65.6,2551,ohc,four,146,mpfi,116,24,30,9989.0,toyota
170,gas,std,two,hardtop,rwd,front,98.4,176.2,65.6,2679,ohc,four,146,mpfi,116,24,30,11199.0,toyota
171,gas,std,two,hatchback,rwd,front,98.4,176.2,65.6,2714,ohc,four,146,mpfi,116,24,30,11549.0,toyota
172,gas,std,two,convertible,rwd,front,98.4,176.2,65.6,2975,ohc,four,146,mpfi,116,24,30,17669.0,toyota
173,gas,std,four,sedan,fwd,front,102.4,175.6,66.5,2326,ohc,four,122,mpfi,92,29,34,8948.0,toyota
174,diesel,turbo,four,sedan,fwd,front,102.4,175.6,66.5,2480,ohc,four,110,idi,73,30,33,10698.0,toyota
175,gas,std,four,hatchback,fwd,front,102.4,175.6,66.5,2414,ohc,four,122,mpfi,92,27,32,9988.0,toyota
176,gas,std,four,sedan,fwd,front,102.4,175.6,66.5,2414,ohc,four,122,mpfi,92,27,32,10898.0,toyota
177,gas,std,four,hatchback,fwd,front,102.4,175.6,66.5,2458,ohc,four,122,mpfi,92,27,32,11248.0,toyota
178,gas,std,two,hatchback,rwd,front,102.9,183.5,67.7,2976,dohc,six,171,mpfi,161,20,24,16558.0,toyota
179,gas,std,two,hatchback,rwd,front,102.9,183.5,67.7,3016,dohc,six,171,mpfi,161,19,24,15998.0,toyota
180,gas,std,four,sedan,rwd,front,104.5,187.8,66.5,3131,dohc,six,171,mpfi,156,20,24,15690.0,toyota
181,gas,std,four,wagon,rwd,front,104.5,187.8,66.5,3151,dohc,six,161,mpfi,156,19,24,15750.0,toyota
182,diesel,std,two,sedan,fwd,front,97.3,171.7,65.5,2261,ohc,four,97,idi,52,37,46,7775.0,volkswagen
183,gas,std,two,sedan,fwd,front,97.3,171.7,65.5,2209,ohc,four,109,mpfi,85,27,34,7975.0,volkswagen
184,diesel,std,four,sedan,fwd,front,97.3,171.7,65.5,2264,ohc,four,97,idi,52,37,46,7995.0,volkswagen
185,gas,std,four,sedan,fwd,front,97.3,171.7,65.5,2212,ohc,four,109,mpfi,85,27,34,8195.0,volkswagen
186,gas,std,four,sedan,fwd,front,97.3,171.7,65.5,2275,ohc,four,109,mpfi,85,27,34,8495.0,volkswagen
187,diesel,turbo,four,sedan,fwd,front,97.3,171.7,65.5,2319,ohc,four,97,idi,68,37,42,9495.0,volkswagen
188,gas,std,four,sedan,fwd,front,97.3,171.7,65.5,2300,ohc,four,109,mpfi,100,26,32,9995.0,volkswagen
